SN,Owner,Release,EDI,EdiName,FG,Level,Posn,LoopID,SAbbrv,SegName,Req,Arr,Max,Rpt,Description,Remarks,URL
1,X12,4010,511,Requisition,RN,Heading,10.0,,ST,Transaction Set Header,Mandatory,->,1,,To indicate the start of a transaction set and to assign a control number,,https://www.stedi.com/edi/x12-004010/511
2,X12,4010,511,Requisition,RN,Heading,20.0,,BR,Beginning Segment for Material Management,Mandatory,->,1,,To indicate the beginning of a material management transaction and transmit identifying numbers and dates,,https://www.stedi.com/edi/x12-004010/511
3,X12,4010,511,Requisition,RN,Heading,30.0,,G62,Date/Time,Optional,->,10,,To specify pertinent dates and times,,https://www.stedi.com/edi/x12-004010/511
4,X12,4010,511,Requisition,RN,Heading,40.0,,NTE,Note/Special Instruction,Optional,->,10,,"To transmit information in a free-form format, if necessary, for comment or special instruction",,https://www.stedi.com/edi/x12-004010/511
5,X12,4010,511,Requisition,RN,Heading,,LM-Message Loop (0500),,,Optional,,,50,,,https://www.stedi.com/edi/x12-004010/511
6,X12,4010,511,Requisition,RN,Heading,50.0,LM-Message Loop (0500),LM,Code Source Information,Mandatory,->,1,,To transmit standard code list identification information,The LM loop identifies logistic data common to the entire transaction set.,https://www.stedi.com/edi/x12-004010/511
7,X12,4010,511,Requisition,RN,Heading,60.0,LM-Message Loop (0500),LQ,Industry Code,Mandatory,->,100,,Code to transmit standard industry codes,,https://www.stedi.com/edi/x12-004010/511
8,X12,4010,511,Requisition,RN,Heading,,N1-Party identification(0700),,,Mandatory,,,20,,,https://www.stedi.com/edi/x12-004010/511
9,X12,4010,511,Requisition,RN,Heading,70.0,N1-Party identification(0700),N1,Name,Mandatory,->,1,,"To identify a party by type of organization, name, and code",The N1 loop identifies name and or address information common to the entire transaction set.,https://www.stedi.com/edi/x12-004010/511
10,X12,4010,511,Requisition,RN,Heading,80.0,N1-Party identification(0700),N2,Additional Name Information,Optional,->,2,,To specify additional names or those longer than 35 characters in length,,https://www.stedi.com/edi/x12-004010/511
11,X12,4010,511,Requisition,RN,Heading,90.0,N1-Party identification(0700),N3,Address Information,Optional,->,2,,To specify the location of the named party,,https://www.stedi.com/edi/x12-004010/511
12,X12,4010,511,Requisition,RN,Heading,100.0,N1-Party identification(0700),N4,Geographic Location,Optional,->,1,,To specify the geographic place of the named party,,https://www.stedi.com/edi/x12-004010/511
